,property_type,places,currency,price_aprox_usd,surface_total_in_m2,price_usd_per_m2,latitude,longitude,has_garden
11014,apartment,Cuajimalpa,USD,1250000.0,705.0,1773.0,19.35735,-99.299792,No
11050,apartment,MiguelHidalgo,USD,1800000.0,337.0,5341.0,19.430101,-99.182486,No
11073,house,MiguelHidalgo,USD,4600000.0,790.0,5823.0,19.420166,-99.220367,No
11076,apartment,BenitoJuarez,USD,1091141.0,207.0,5271.0,19.3655409812,-99.1804758087,No
11115,house,Azcapotzalco,MXN,785029.0,4000.0,196.0,19.484102,-99.18436,No
11123,apartment,MiguelHidalgo,USD,5000000.0,1000.0,5000.0,19.400524,-99.230064,Yes
11137,store,Coyoacan,MXN,1949862.0,2684.0,726.0,19.3183624603,-99.1583404542,No
11148,apartment,MiguelHidalgo,USD,1490000.0,241.0,6183.0,19.407269,-99.190754,Yes
11157,house,MiguelHidalgo,MXN,1011820.0,800.0,1265.0,19.401079,-99.24807,No
11187,apartment,Cuajimalpa,MXN,3113918.0,617.0,5047.0,19.35735,-99.299792,No
11190,house,MiguelHidalgo,USD,1950000.0,700.0,2786.0,19.4267318,-99.2180753,No
11209,house,MiguelHidalgo,USD,3250000.0,1722.0,1887.0,19.4028209,-99.2335933,Yes
11218,house,Tlalpan,MXN,1053730.0,790.0,1334.0,19.276739,-99.152269,No
11230,house,AlvaroObregon,MXN,1844027.0,1000.0,1844.0,19.320576,-99.20929,No
11251,house,MagdalenaContreras,MXN,569149.0,1570.0,363.0,19.304898,-99.241515,Yes
11259,house,MiguelHidalgo,MXN,1053730.0,870.0,1211.0,19.401079,-99.24807,No
11261,apartment,MiguelHidalgo,USD,1100000.0,240.0,4583.0,19.4334659,-99.2041688,No
11269,house,MiguelHidalgo,USD,2500000.0,759.0,3294.0,19.401079,-99.24807,Yes
11303,house,MiguelHidalgo,MXN,1264476.0,433.0,2920.0,19.401079,-99.24807,No
11359,house,Tlalpan,MXN,474291.0,1360.0,349.0,19.2661923,-99.1480231,Yes
11367,house,Tlalpan,MXN,1686367.0,553.0,3049.0,19.3024064,-99.2018433,No
11378,apartment,Tlalpan,MXN,1185727.0,400.0,2964.0,19.2975321,-99.1964441,No
11386,apartment,MiguelHidalgo,USD,1731345.0,207.0,8364.0,19.407269,-99.190754,No
11396,apartment,MiguelHidalgo,USD,1250000.0,260.0,4808.0,19.43107,-99.185797,No
11401,apartment,MiguelHidalgo,USD,1800000.0,260.0,6923.0,19.407269,-99.190754,No
11408,house,Cuajimalpa,MXN,1422535.0,500.0,2845.0,19.332314,-99.325691,No
11421,apartment,MiguelHidalgo,MXN,1472587.0,241.0,6110.0,19.407269,-99.190754,No
11428,apartment,MiguelHidalgo,MXN,2371454.0,390.0,6081.0,19.407269,-99.190754,Yes
11458,house,Cuajimalpa,USD,4950000.0,3794.0,1305.0,19.35735,-99.299792,Yes
11459,house,MiguelHidalgo,USD,1860000.0,600.0,3100.0,19.403067,-99.230216,No
11483,apartment,MiguelHidalgo,USD,1200000.0,167.0,7186.0,19.407269,-99.190754,No
11544,house,MiguelHidalgo,USD,4200000.0,1206.0,3483.0,19.4207986566,-99.2237247544,Yes
11551,apartment,MiguelHidalgo,USD,2600000.0,523.0,4971.0,19.436054,-99.194785,No
11553,apartment,MiguelHidalgo,MXN,1090869.0,218.0,5004.0,19.4325719,-99.1934152,No
11566,house,MiguelHidalgo,USD,4000000.0,2075.0,1928.0,19.40403,-99.233528,Yes
11608,house,Tlalpan,USD,2000000.0,1400.0,1429.0,19.2953143768,-99.1775791347,Yes
11651,apartment,MiguelHidalgo,MXN,1083761.0,226.0,4795.0,23.634501,-102.552788,No
11675,apartment,MiguelHidalgo,USD,1250000.0,352.0,3551.0,19.401079,-99.24807,No
