property_type,places,price,currency,price_aprox_local_currency,price_aprox_usd,surface_total_in_m2,surface_covered_in_m2,price_usd_per_m2,price_per_m2,latitude,longitude
apartment,AlvaroObregon,8730909.0,MXN,9713649.4,516450.0,240.0,120.0,2151.9,63227.2,19.320576,-99.20929
apartment,Xochimilco,1338424.0,MXN,1326316.2,70516.8,90.0,90.0,783.5,14871.4,19.273713,-99.120741
apartment,Coyoacan,2037000.0,MXN,2018572.6,107322.4,108.0,108.0,993.7,18861.1,19.309713,-99.1262
apartment,MiguelHidalgo,2500000.0,USD,10751847.6,571648.3,325.0,325.0,3751.7,7692.3,19.407269,-99.190754
apartment,Coyoacan,1648660.0,MXN,1633745.6,86862.1,80.0,80.0,1085.8,20608.2,19.348122,-99.125716
apartment,BenitoJuarez,2090000.0,MXN,2071093.3,110114.8,93.0,93.0,1184.0,22473.1,19.387579,-99.170353
apartment,Cuauhtemoc,1444000.0,MXN,1430937.1,76079.3,75.0,75.0,1014.4,19253.3,19.404442,-99.162688
apartment,Cuajimalpa,8730909.0,MXN,10751847.6,571648.3,221.0,221.0,2598.6,49321.3,19.393557,-99.265242
apartment,BenitoJuarez,3071500.0,MXN,3043714.3,161826.5,106.0,106.0,1526.7,28976.4,19.362511,-99.166374
house,Iztacalco,2088777.0,MXN,2069881.2,110050.3,220.0,220.0,500.2,9494.4,19.396669,-99.067626
apartment,BenitoJuarez,1550000.0,MXN,1535978.1,81664.0,74.0,74.0,1103.6,20945.9,19.384506,-99.135865
apartment,BenitoJuarez,4850000.0,MXN,4806125.5,255529.4,122.0,122.0,2094.5,39754.1,19.390912,-99.172242
house,Iztapalapa,2443430.0,MXN,2421326.0,128735.7,250.0,250.0,514.9,9773.7,19.362488,-99.108269
apartment,MiguelHidalgo,8730909.0,MXN,10751847.6,571648.3,180.0,180.0,3751.7,63227.2,23.634501,-102.552788
apartment,Cuajimalpa,8730909.0,MXN,10504109.4,558476.7,241.0,241.0,2317.3,43983.4,19.362619,-99.265706
house,Iztacalco,2750000.0,MXN,2725122.8,144887.8,140.0,140.0,1034.9,19642.9,19.379863,-99.123453
